"MPSA","p_value","category","effect_size"
0.164450549450549,0.173683887969602,"Not Significant",2.13041172316468
0.224978276236857,0.0601981291636464,"Not Significant",3.58467118335655
0.110572757354071,0.344555081397187,"Not Significant",1.22658667072942
0.108632631013262,0.38917258272097,"Not Significant",1.08575527264752
0.144535709412938,0.207949125596184,"Not Significant",1.72499936509662
0.269344439140201,0,"Strong Hotspot",5.7767007661444
0.465348003203598,0,"Strong Hotspot",10.0565276363391
0.280378315642433,0,"Strong Hotspot",5.45321475082853
0.132123185158899,0.256934353708547,"Not Significant",1.68947903375335
0.18919315599378,0.100716100716101,"Not Significant",2.99748702379696
0.241212841212841,0.0467610467610468,"Strong Hotspot",3.45319604047344
0.063483156992619,0.936691408389522,"Not Significant",-0.070588886576111
0.133851332749978,0.292785247559117,"Not Significant",1.41583195644404
0.0916188718975097,0.57836031520242,"Not Significant",0.559651577299537
0.256468885981376,0.0112871492181837,"Strong Hotspot",4.81613971671622
0.196880811912242,0.0734816449102163,"Not Significant",3.17823932774514
0.381078970049558,0,"Strong Hotspot",6.07072170764653
0.103868887768174,0.475626647055219,"Not Significant",0.838457788766885
0.256623712733666,0.0195419299896912,"Strong Hotspot",4.7489914984104
0.22975168229366,0.039917966747235,"Strong Hotspot",3.74979082282765
0.0246153846153846,0.454929505776963,"Not Significant",-0.91771373770945
0.330262923351159,0,"Strong Hotspot",6.5738243351636
0.143668130764905,0.173683887969602,"Not Significant",2.06636813126889
0.0919073817211522,0.511448948948949,"Not Significant",0.677106407155746
0.283515632667846,0,"Strong Hotspot",5.7245150611012
0.0561912026442919,0.987080538482408,"Not Significant",-0.237132017275546
0.0429957469431154,0.747859724130911,"Not Significant",-0.55304172692633
0.0537681620145505,0.935515957597977,"Not Significant",-0.300286192727181
0.0350795846217586,0.517100758345895,"Not Significant",-0.82395046127215
0.248183209236138,0,"Strong Hotspot",5.10419871589396
0.122636667983307,0.309590378555896,"Not Significant",1.32114857038745
0.266074150870583,0,"Strong Hotspot",5.85087419209332
0.133295567686339,0.353699671235216,"Not Significant",1.26379534018666
0.093146778442725,0.533328695490858,"Not Significant",0.663382016245212
0.0661562528959789,0.87146954027983,"Not Significant",0.0304880693083342
0.0911668524712003,0.572198152350824,"Not Significant",0.547929652161424
0.0713106083767771,0.783834001225305,"Not Significant",0.168753178165219
0.144684449251824,0.207949125596184,"Not Significant",2.06232394571644
0.0412526416654634,0.679922027290448,"Not Significant",-0.65493191930343
0.0469550531457339,0.76927432482988,"Not Significant",-0.492363810885325
0.0766890654950356,0.747859724130911,"Not Significant",0.184605528148883
0.163391307275266,0.18826669807062,"Not Significant",1.99005453151844
0.0499901928734881,0.881265881265881,"Not Significant",-0.345284774134555
0.0961039615379881,0.501382334715668,"Not Significant",0.757693864474753
0.0461469689730559,0.807407407407407,"Not Significant",-0.456692367459124
0.065574288080405,0.842308106151754,"Not Significant",0.00769810871194044
0.0992717978633472,0.490338944522211,"Not Significant",0.789186344288091
0.10114730770929,0.471459113434422,"Not Significant",0.823033952704529
0.321334924559179,0,"Strong Hotspot",6.90529070613763
0.0857570865986906,0.62856334595465,"Not Significant",0.501225023532632
0.0921218093721848,0.573131622188226,"Not Significant",0.519715442795917
